parentid,childid,date,sym,time,price,size
V003,V003_13,2020/12/9,000001.SZSE,9:54:06,18.89,400
V004,V004_1,2020/12/14,600030.SHSE,9:30:20,28.82,12400
V004,V004_2,2020/12/14,600030.SHSE,9:34:47,28.65,300
V004,V004_3,2020/12/14,600030.SHSE,9:39:35,28.72,18700
V004,V004_4,2020/12/14,600030.SHSE,9:44:54,28.89,12000
V004,V004_5,2020/12/14,600030.SHSE,9:46:50,28.85,2400
V004,V004_6,2020/12/14,600030.SHSE,9:49:47,28.81,7200
V004,V004_7,2020/12/14,600030.SHSE,9:51:29,28.83,800
V004,V004_8,2020/12/14,600030.SHSE,9:53:14,28.83,200
V004,V004_9,2020/12/14,600030.SHSE,9:57:03,28.77,700
V004,V004_10,2020/12/14,600030.SHSE,9:57:56,28.8,10500
V004,V004_11,2020/12/14,600030.SHSE,10:00:51,28.76,7000
V004,V004_12,2020/12/14,600030.SHSE,10:05:33,28.81,25200
V004,V004_13,2020/12/14,600030.SHSE,10:05:42,28.81,1900
V004,V004_14,2020/12/14,600030.SHSE,10:06:11,28.8,8300
V004,V004_15,2020/12/14,600030.SHSE,10:08:14,28.78,900
V004,V004_16,2020/12/14,600030.SHSE,10:08:33,28.78,200
V004,V004_17,2020/12/14,600030.SHSE,10:09:27,28.79,500
V004,V004_18,2020/12/14,600030.SHSE,10:12:24,28.81,4000
V004,V004_19,2020/12/14,600030.SHSE,10:12:32,28.81,400
V004,V004_20,2020/12/14,600030.SHSE,10:13:12,28.8,2000
V004,V004_21,2020/12/14,600030.SHSE,10:13:26,28.8,4300
V004,V004_22,2020/12/14,600030.SHSE,10:13:29,28.81,500
V004,V004_23,2020/12/14,600030.SHSE,10:16:24,28.75,27600
V004,V004_24,2020/12/14,600030.SHSE,10:16:26,28.76,5300
V004,V004_25,2020/12/14,600030.SHSE,10:16:47,28.76,100
V004,V004_26,2020/12/14,600030.SHSE,10:19:24,28.75,2000
V004,V004_27,2020/12/14,600030.SHSE,10:19:30,28.77,7800
V004,V004_28,2020/12/14,600030.SHSE,10:20:26,28.78,2700
V004,V004_29,2020/12/14,600030.SHSE,10:20:32,28.76,3900
V004,V004_30,2020/12/14,600030.SHSE,10:21:14,28.77,100
V004,V004_31,2020/12/14,600030.SHSE,10:22:14,28.77,4300
V004,V004_32,2020/12/14,600030.SHSE,10:22:21,28.79,27200
V004,V004_33,2020/12/14,600030.SHSE,10:23:00,28.76,3300
V004,V004_34,2020/12/14,600030.SHSE,10:24:38,28.79,100
V004,V004_35,2020/12/14,600030.SHSE,10:25:03,28.79,5500
V004,V004_36,2020/12/14,600030.SHSE,10:26:14,28.79,700
V004,V004_37,2020/12/14,600030.SHSE,10:29:28,28.83,100
V004,V004_38,2020/12/14,600030.SHSE,10:31:12,28.81,3800
V004,V004_39,2020/12/14,600030.SHSE,10:31:44,28.81,500
V004,V004_40,2020/12/14,600030.SHSE,10:32:03,28.83,1300
V004,V004_41,2020/12/14,600030.SHSE,10:32:36,28.85,4500
V004,V004_42,2020/12/14,600030.SHSE,10:32:51,28.85,2600
V004,V004_43,2020/12/14,600030.SHSE,10:34:09,28.82,800
V004,V004_44,2020/12/14,600030.SHSE,10:35:48,28.86,8900
V004,V004_45,2020/12/14,600030.SHSE,10:37:12,28.89,3100
V004,V004_46,2020/12/14,600030.SHSE,10:38:03,28.9,6300
V004,V004_47,2020/12/14,600030.SHSE,10:38:06,28.9,13200
V004,V004_48,2020/12/14,600030.SHSE,10:38:18,28.89,15600
V004,V004_49,2020/12/14,600030.SHSE,10:38:36,28.89,18600
V004,V004_50,2020/12/14,600030.SHSE,10:38:38,28.89,13800
V004,V004_51,2020/12/14,600030.SHSE,10:40:33,28.85,1900
V004,V004_52,2020/12/14,600030.SHSE,10:41:14,28.86,1200
V004,V004_53,2020/12/14,600030.SHSE,10:43:42,28.85,2900
V004,V004_54,2020/12/14,600030.SHSE,10:44:26,28.85,400
V004,V004_55,2020/12/14,600030.SHSE,10:45:11,28.87,500
V004,V004_56,2020/12/14,600030.SHSE,10:45:50,28.83,100
V004,V004_57,2020/12/14,600030.SHSE,10:45:59,28.84,7000
V004,V004_58,2020/12/14,600030.SHSE,10:47:38,28.82,1200
V004,V004_59,2020/12/14,600030.SHSE,10:48:15,28.83,1400
V004,V004_60,2020/12/14,600030.SHSE,10:49:57,28.83,3400
V004,V004_61,2020/12/14,600030.SHSE,10:50:41,28.85,2900
V004,V004_62,2020/12/14,600030.SHSE,10:53:39,28.84,2400
V004,V004_63,2020/12/14,600030.SHSE,10:55:45,28.82,3400
V004,V004_64,2020/12/14,600030.SHSE,10:57:20,28.82,1800
V004,V004_65,2020/12/14,600030.SHSE,10:58:18,28.82,1300
