candle_begin_time,open,high,low,close,volume
2018-08-13 08:00:00,317.96,321.99,280.68,283.81,307713.22214
2018-08-14 08:00:00,283.81,283.81,250.0,278.41,485174.37541
2018-08-15 08:00:00,278.47,304.45,276.3,281.12,438620.64156
2018-08-16 08:00:00,281.46,298.6,277.55,287.17,235665.2551
2018-08-17 08:00:00,286.84,318.0,285.0,317.51,342556.46068
2018-08-18 08:00:00,317.51,321.33,281.79,294.11,384021.38829
2018-08-19 08:00:00,294.1,307.4,288.2,299.42,288483.44841
2018-08-20 08:00:00,299.3,304.04,269.5,270.51,219153.78936
2018-08-21 08:00:00,270.51,285.9,269.7,281.21,224701.57671
2018-08-22 08:00:00,281.09,298.89,259.5,270.8,403936.78303
2018-08-23 08:00:00,270.68,280.3,267.55,275.99,277304.60909
2018-08-24 08:00:00,276.06,283.1,270.22,281.19,271850.21373
2018-08-25 08:00:00,281.05,282.71,275.99,277.55,253375.49477
2018-08-26 08:00:00,277.54,277.91,268.69,274.29,232525.9497
2018-08-27 08:00:00,274.17,288.15,271.59,287.71,281020.64727
2018-08-28 08:00:00,287.71,298.0,282.66,295.44,318323.28971
2018-08-29 08:00:00,295.44,297.0,283.55,288.4,324275.47324
2018-08-30 08:00:00,288.35,291.0,271.88,283.89,336993.14413
2018-08-31 08:00:00,283.9,289.0,276.59,281.41,302663.37038
2018-09-01 08:00:00,281.46,302.0,281.34,295.71,294944.4401
2018-09-02 08:00:00,295.8,299.33,288.87,295.41,153300.06112
2018-09-03 08:00:00,295.51,296.62,285.99,289.09,274753.70062
2018-09-04 08:00:00,289.09,292.64,283.0,285.3,330102.19
2018-09-05 08:00:00,285.18,287.62,227.0,228.53,528734.3196
2018-09-06 08:00:00,228.28,233.19,212.0,229.7,552996.86567
2018-09-07 08:00:00,229.73,234.69,213.5,215.22,398379.81741
2018-09-08 08:00:00,215.19,220.2,190.01,196.71,318859.84904
2018-09-09 08:00:00,196.87,208.6,185.02,195.81,429255.02592
2018-09-10 08:00:00,196.13,203.42,187.1,197.15,418489.86663
2018-09-11 08:00:00,197.22,200.2,176.16,185.18,476745.79216
2018-09-12 08:00:00,185.14,185.22,167.32,183.12,504047.79165
2018-09-13 08:00:00,183.17,215.0,183.15,210.68,739503.34051
2018-09-14 08:00:00,210.91,224.2,202.6,208.82,833945.82573
2018-09-15 08:00:00,208.55,227.42,207.64,221.29,441046.52933
2018-09-16 08:00:00,221.62,223.5,208.1,220.17,425538.57709
2018-09-17 08:00:00,220.24,225.0,192.4,196.16,825020.77445
2018-09-18 08:00:00,196.25,215.47,193.47,208.17,584366.15014
2018-09-19 08:00:00,208.42,214.84,197.58,209.79,496100.46639
2018-09-20 08:00:00,209.79,226.68,205.56,224.0,573632.24236
2018-09-21 08:00:00,224.0,252.11,220.66,247.73,841029.12948
2018-09-22 08:00:00,247.67,255.13,232.7,241.01,423740.7403
2018-09-23 08:00:00,241.01,249.73,237.0,244.5,235214.14917
2018-09-24 08:00:00,244.54,246.2,225.3,228.06,350139.1505
2018-09-25 08:00:00,228.06,228.1,203.61,219.62,710650.7097
2018-09-26 08:00:00,219.5,223.6,207.5,214.42,613754.27743
2018-09-27 08:00:00,214.38,234.0,205.01,229.13,582274.44087
2018-09-28 08:00:00,229.1,234.42,215.53,221.84,618434.62488
2018-09-29 08:00:00,221.89,237.77,214.18,231.62,604000.95586
2018-09-30 08:00:00,231.62,239.0,226.5,232.94,432195.44084
2018-10-01 08:00:00,233.04,235.88,224.46,231.61,322900.46128
2018-10-02 08:00:00,231.62,232.51,223.37,225.69,401305.32707
2018-10-03 08:00:00,225.7,226.43,216.51,220.77,275609.26221
2018-10-04 08:00:00,220.67,227.16,219.49,222.66,158137.42967
2018-10-05 08:00:00,222.66,231.75,219.35,228.37,137730.35786
2018-10-06 08:00:00,228.36,228.86,223.15,225.4,100257.5697
2018-10-07 08:00:00,225.39,227.75,221.48,226.14,74733.67253
2018-10-08 08:00:00,226.26,232.7,224.21,230.01,210989.42202
2018-10-09 08:00:00,230.01,231.02,226.56,228.4,100246.1843
2018-10-10 08:00:00,228.4,228.78,224.05,226.74,122748.21412
2018-10-11 08:00:00,226.7,226.91,189.01,191.58,497258.82871
2018-10-12 08:00:00,191.55,201.87,190.04,196.96,216448.3922
2018-10-13 08:00:00,196.96,202.78,196.27,201.3,107215.5262
2018-10-14 08:00:00,201.39,203.56,194.33,197.01,110554.19361
2018-10-15 08:00:00,196.84,239.0,194.6,214.39,973857.7477
2018-10-16 08:00:00,214.39,219.95,211.55,215.09,145980.09837
2018-10-17 08:00:00,215.2,216.99,210.0,212.85,153768.85024
2018-10-18 08:00:00,212.9,215.3,203.53,206.24,150229.60097
2018-10-19 08:00:00,206.25,208.0,204.21,205.0,254660.48637
2018-10-20 08:00:00,205.1,209.69,203.57,207.91,62376.6968
2018-10-21 08:00:00,207.91,211.99,206.74,207.49,83277.36128
2018-10-22 08:00:00,207.46,209.3,205.0,206.67,206046.89963
2018-10-23 08:00:00,206.67,207.8,202.14,205.85,112753.0414
2018-10-24 08:00:00,205.85,207.95,204.73,205.35,97128.82698
2018-10-25 08:00:00,205.35,205.94,202.88,203.93,77411.57217
2018-10-26 08:00:00,203.84,209.0,203.0,204.92,91143.83291
2018-10-27 08:00:00,204.92,206.15,203.09,204.45,50235.68329
2018-10-28 08:00:00,204.45,205.94,203.62,204.99,44394.83357
